ROL3,Language,WebLangText,Status,ROG3,HubCountry,BibleStatus,GRN_URL,TranslationNeedQuestionable,BibleYear,NTYear,PortionsYear,PercentAdherents,PercentEvangelical,JF,JF_URL,AudioRecordings,JPScale,LeastReached,RLG3,PrimaryReligion,FCBH_URL,NbrPGICs,NbrCountries
"gho","Ghomara","Ghomara","L","MO","Morocco","3",,,,,"Yes","0","0","N",,"N","1","Y","6","Islam","https://live.bible.is/bible/GHOWBT","1","1"
"mey","Hassaniyya","Hassaniyya","L","MR","Mauritania","4","https://globalrecordings.net/en/language/mey",,,"Yes","2002-2005","0.080000000000000002","0.070000000000000007","Y","https://www.jesusfilm.org/watch/jesus.html/arabic-hassaniya.html","Y","1","Y","6","Islam","https://live.bible.is/bible/MEYPBT","32","13"
"hrt","Hertevin","Hertevin","N","TU","Türkiye (Turkey)","0",,,,,,"100","0","N",,"N","3","N","1","Christianity",,"1","1"
"hoh","Hobyot","Hobyot","N","YM","Yemen","0",,,,,,"0.14000000000000001","0","N",,"N","1","Y","6","Islam",,"2","2"
"aij","Inter-Zab Jewish Neo-Aramaic","Inter-Zab Jewish Neo-Aramaic","N","IS","Israel","0",,,,,,"0","0","N",,"N","1","Y","4","Ethnic Religions",,"1","1"
"swh","Swahili","Swahili","L","TZ","Tanzania","5","https://globalrecordings.net/en/language/swh",,"1890-2017","1879-1989","1868-1968","12.91","2.9900000000000002","Y","https://www.jesusfilm.org/watch/jesus.html/swahili-tanzania.html","Y","4","N","6","Islam","https://live.bible.is/bible/SWHSUV","40","29"
"shi","Tachelhit","Tachelhit","L","MO","Morocco","4","https://globalrecordings.net/en/language/shi",,,"2021","1906-1925","0.17000000000000001","0.13","Y","https://www.jesusfilm.org/watch/jesus.html/tachelhit.html","Y","1","Y","6","Islam","https://apk.fcbh.org/Tashelhayt","5","3"
"thz","Tamajeq, Tayart","Tamajeq, Tayart","L","NG","Niger","4","https://globalrecordings.net/en/language/thz",,,"1990-2003","1934-1998","0.41999999999999998","0.35999999999999999","N",,"Y","1","Y","6","Islam",,"2","1"
"tzm","Tamazight, Central Atlas","Tamazight, Central Atlas","L","MO","Morocco","3","https://globalrecordings.net/en/language/tzm",,,,"1919-2020","0.070000000000000007","0.059999999999999998","Y","https://www.jesusfilm.org/watch/jesus.html/tamazight-central-atlas.html","Y","1","Y","6","Islam","https://live.bible.is/bible/TZMWYI","12","6"
"rif","Tarifit","Tarifit","L","MO","Morocco","4","https://globalrecordings.net/en/language/rif",,,"2020","1885-2018","0.080000000000000002","0.029999999999999999","Y","https://www.jesusfilm.org/watch/jesus.html/tarifit.html","Y","1","Y","6","Islam","https://live.bible.is/bible/RIFNVS","4","4"
"xxx","Unknown","Unknown",,,,,,,,,,,,,,,,,,,,,
"zen","Zenaga","Zenaga","N","MR","Mauritania","0",,,,,,"0","0","N",,"N","1","Y","6","Islam",,"1","1"
